DATE,ECOMSA,ECOMSA_PC1
1/1/00,6853.75,.
1/1/01,8530,24.45741
1/1/02,11105,30.18757
1/1/03,14233,28.16749
1/1/04,18088.25,27.0867
1/1/05,22762.75,25.84274
1/1/06,28191,23.84707
1/1/07,33969.25,20.49679
1/1/08,35465.75,4.40545
1/1/09,36231.5,2.15913
1/1/10,42284.75,16.70715
1/1/11,49816.75,17.81257
1/1/12,57810.25,16.04581
1/1/13,65154.5,12.70406
1/1/14,74253,13.9645
1/1/15,84287,13.51326
1/1/16,95605.75,13.42882
1/1/17,110376.5,15.44965
1/1/18,126292.5,14.41974
1/1/19,144132,14.12554
1/1/20,189900.25,31.7544
1/1/21,217676.5,14.62676